goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     580	   2020734 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     626	   2096747 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     579	   1978758 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     608	   1974167 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     626	   2017893 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     580	   1955185 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  369325	      3421 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  379815	      3302 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  372601	      3185 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  376407	      3391 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  365718	      3286 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  367381	      3246 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  365677	      3381 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  377914	      3399 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  374623	      3314 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/matching_only        	  364909	      3370 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     716	   1662142 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     687	   1734863 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     657	   1681148 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     679	   1728279 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     682	   1649982 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     726	   1654434 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     720	   1734447 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     726	   1648706 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     723	   1677541 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsNumber/all_valid_UTF8       	     723	   1663537 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    5086	    246109 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4928	    241988 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    5025	    248996 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4884	    241533 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4766	    244043 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    5010	    259940 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4725	    256996 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4885	    243410 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4923	    240735 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/matching_only        	    4999	    245663 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     686	   1744804 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     721	   1684109 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     678	   1719647 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     704	   1752209 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     709	   1778416 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     694	   1674496 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     644	   1684307 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     709	   1690545 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     690	   1709859 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLetter/all_valid_UTF8       	     690	   1678214 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  985167	      1206 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  923536	      1268 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	 1000000	      1263 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	 1000000	      1202 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  851460	      1266 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  970734	      1274 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  927254	      1277 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  854683	      1292 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  915538	      1199 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/matching_only         	  934678	      1208 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     699	   1643723 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     724	   1703455 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     692	   1781507 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     692	   1771082 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     660	   1677664 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     679	   1688435 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     724	   1747582 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     692	   1689560 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     700	   1772385 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsDigit/all_valid_UTF8        	     717	   1794672 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4575	    283044 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4024	    280057 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4381	    276723 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4243	    278208 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4556	    269601 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4598	    273974 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4324	    267505 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4484	    274616 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4177	    275412 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/matching_only       	    4636	    270640 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     591	   1953724 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     621	   1944612 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     632	   1977020 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     621	   2029905 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     601	   1939597 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     603	   1934148 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     620	   1960124 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     613	   1975307 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     600	   1911257 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsGraphic/all_valid_UTF8      	     600	   1999382 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  312261	      4049 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  304555	      4109 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  311127	      4149 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  303178	      3885 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  307467	      4186 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  265998	      3939 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  281634	      3982 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  301756	      4035 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  305973	      4053 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/matching_only         	  295041	      4142 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     692	   1715595 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     716	   1783447 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     726	   1708938 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     692	   1710594 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     723	   1683808 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     693	   1763157 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     699	   1727451 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     727	   1668542 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     718	   1718413 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsLower/all_valid_UTF8        	     705	   1690042 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4570	    269565 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4645	    268805 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4604	    262824 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4503	    287439 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4552	    262655 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4506	    268241 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4657	    267154 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4206	    272867 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/matching_only         	    4323	    268236 ns/op	       0 B/op	       0 allocs/op
