goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                       33.51µ ±  8%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                     23.99µ ±  1%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                      642.0µ ±  2%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                    638.3µ ±  2%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/isStrategy-8                                                                     2.903µ ±  7%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                           2.052µ ±  1%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                         2.101µ ±  2%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                          654.2µ ±  3%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                        667.6µ ±  3%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/isStrategy-8                                                                         2.614µ ±  7%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     50.40µ ±  1%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   29.98µ ±  1%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    667.2µ ±  7%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  637.1µ ±  8%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/isStrategy-8                                                                   2.429µ ±  1%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/bytes.ContainsAny-8                                                          2.097µ ±  3%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/strings.ContainsAny-8                                                        2.171µ ±  1%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/bytes.ContainsRune-8                                                         701.6µ ±  5%
