goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8       	    1848	    641215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8       	    1873	    655996 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1970	    607591 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    2024	    600028 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1942	    612923 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1922	    622223 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1992	    610040 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1992	    601263 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1951	    613515 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1946	    601271 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1956	    616484 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8     	    1995	    625059 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  548858	      2125 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  545286	      2172 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  551098	      2151 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  544728	      2194 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  534164	      2115 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  556357	      2193 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  541746	      2220 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  531531	      2258 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  529683	      2225 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                      	  519844	      2261 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1731	    669183 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1734	    660573 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1771	    658428 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1893	    649972 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1816	    629205 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1966	    621040 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1923	    623933 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1933	    618481 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1939	    605851 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8  	    1915	    617512 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2022	    592684 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2011	    594445 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    1989	    579121 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2102	    592161 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    1989	    594763 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    1993	    592580 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2022	    584789 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2007	    605710 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2006	    595833 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8         	    2014	    606395 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  576261	      2076 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  589657	      2084 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  565153	      2040 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  582330	      2086 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  574998	      2064 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  558171	      2052 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  575070	      2086 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  588915	      2080 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  575446	      2048 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                          	  563785	      2035 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  571864	      2200 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  610714	      2017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  603637	      2051 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  574617	      2003 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  601318	      1982 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  590952	      1979 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  605523	      1981 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  577947	      2140 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  590254	      2025 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                 	  580836	      2021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  541209	      2078 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  583575	      2039 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  574826	      2043 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  578086	      2056 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  576931	      2035 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  585567	      2065 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  571802	      2082 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  568754	      2101 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  563599	      2085 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8               	  567102	      2082 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1849	    658792 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1813	    651224 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1827	    655357 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1828	    653552 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1809	    676195 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1812	    675545 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1822	    677625 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1760	    686185 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1770	    670789 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                	    1800	    661956 ns/op	       0 B/op	       0 allocs/op
